id_text,lemma,designation,ancient_author,ancient_recipient,archive,cdli_id,sender_loc,volume,regnal_dates,ruler,cdli_id.1,genre,provenience,pleiades_coord,pleiades_id
P313726,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Gambulu[1]GN _ _ _ _ _ _ _ _ maddattu[payment]N _ _ _ _ sahāru[go-around]V _ _ _ _ _ _ _ _ _ _ _ _ ša[of]DET mātu[land]N annû[this]DP _ _ ina[in]PRP muhhu[skull]N lā[not]MOD wabālu[bring]V ūma[today]AV annûri[now]AV šapāru[send]V _ _ ana[to]PRP nišu[people]N lā[not]MOD _ _ maddattu[payment]N našû[lift]V alāku[go]V ina[in]PRP muhhu[skull]N maddattu[payment]N ša[of]DET Ellipi[1]GN _ _ šapāru[send]V maddattu[payment]N _ _ _ ina[in]PRP muhhu[skull]N Humbe[1]PN _ _ ša[that]REL ina[in]PRP egertu[inscribed-tablet]N pānû[previous]AJ _ _ _ _ _ _ _ _ _ _ _,SAA 01 015,the king,(unknown),099 - Miscellaneous,P313726,Royal Court,SAA 1,721–705 BC,Sargon II,P313726,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313742,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Šamaš-upahhir[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ina[in]PRP muhhu[skull]N namaddu[measurement]N ša[of]DET aladlammû[human-headed-bull-colossus]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V ištēn[one]NU aladlammû[human-headed-bull-colossus]N _ ina[in]PRP _ ammatu[unit]N šarru[king]N rūṭu[unit]N mūraku[length]N rupšu[width]N _ _ ištu[from]PRP libbu[interior]N mūraku[length]N ištu[from]PRP libbu[interior]N rupšu[width]N _ _ _ ina[in]PRP _ ammatu[unit]N rūṭu[unit]N gamru[complete]AJ _ _ ištēn[one]NU aladlammû[human-headed-bull-colossus]N _ ina[in]PRP _ ammatu[unit]N rūṭu[unit]N mūraku[length]N ištu[from]PRP libbu[interior]N _ battu[side]N ana[to]PRP nāru[river]N _ _ ina[in]PRP _ ammatu[unit]N _ _ _ _ _ _ _ _ _ _ _ _ _ aladlammû[human-headed-bull-colossus]N _ ina[in]PRP _ ammatu[unit]N rūṭu[unit]N _ ina[in]PRP _ ammatu[unit]N ina[in]PRP _ _ _ _ _ aladlammû[human-headed-bull-colossus]N _ ina[in]PRP _ ammatu[unit]N _ ina[in]PRP _ ammatu[unit]N pānu[front]N Habruri[1]GN gimru[totality]N _ aladlammû[human-headed-bull-colossus]N rēhu[remaining]AJ ša[of]DET rabiu[big-one]N _ šadû[mountain]N udīni[up-till-now]AV lā[not]MOD petû[open]V,SAA 01 145,Šamaš-upahhir,the king,099 - Miscellaneous,P313742,Habruri,SAA 1,721–705 BC,Sargon II,P313742,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313748,ūmu[day]N _ ūmu[day]N _ ša[of]DET pīhātu[responsibility]N _ _ _ ina[in]PRP Issete[1]GN ūmu[day]N _ ūmu[day]N _ ūmu[day]N _ ša[of]DET pīhātu[responsibility]N Arbail[Arbela]GN ina[in]PRP _ tadānu[give]V ūmu[day]N _ ūmu[day]N _ ša[of]DET nāgiru[herald]N ēkallu[palace]N ina[in]PRP _ ina[in]PRP battu[side]N _ _ _ _ ša[of]DET Baqarru[1]GN tadānu[give]V ūmu[day]N _ ūmu[day]N _ ša[of]DET pīhātu[responsibility]N Arzuhina[1]GN _ _ _ _ _ Šamaš-belu-uṣur[1]PN _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ūmu[day]N _ ūmu[day]N _ _ rabû[big-one]N karmu[heap]N ina[in]PRP _ _ _ tadānu[give]V ūmu[day]N _ ša[of]DET pīhātu[responsibility]N Kilizi[1]GN ina[in]PRP _ _ tadānu[give]V _ _ _ pīhātu[responsibility]N Arbail[Arbela]GN _ _ _ tadānu[give]V _ ana[to]PRP nāgiru[herald]N ēkallu[palace]N _ _ _ tadānu[give]V _ _ arhu[month]N ūmu[day]N kissatu[fodder]N _ _ _ ištu[from]PRP ēkallu[palace]N _ _ _ _ ina[in]PRP pānu[front]N _ _ _ _ _ ūmu[day]N _ _ _ _ _ _ _ _ _ _,SAA 01 170,(unknown),the king,099 - Miscellaneous,P313748,Assyria,SAA 1,721–705 BC,Sargon II,P313748,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313755,_ _ _ _ _ _ _ _ _ _ _ _ ṣabātu[seize]V _ _ u[and]CNJ šumma[if]MOD qabû[say]V mā[saying]PRP šarru[king]N bēlu[lord]N ilu[god]N sahāru[go-around]V tadānu[give]V _ _ _ _ _ arhiš[quickly]AV batiqtu[denunciation]N harāṣu[break-off]V šapāru[send]V basi[soon]AV ilu[god]N sahāru[go-around]V tadānu[give]V Muṣaṣir[1]GN _ _ ina[in]PRP libbu[interior]N ašābu[sit-(down)]V ṣabātu[seize]V _ _ _ _ _ ša[of]DET ilu[god]N _ _ _ _ _ _ annû[this]DP ša[that]REL _ _ _ _ _ atā[why?]QP lā[not]MOD _ _ _ _,SAA 01 007,the king,(unknown),099 - Miscellaneous,P313755,Royal Court,SAA 1,721–705 BC,Sargon II,P313755,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313759,_ _ _ _ _ šukkallu[(a-court-official)]N _ _ _ _ _ šarru[king]N bēlu[lord]N _ _ _ _ _ ṣarpu[silver]N miksu[tax-(on-produce)]N _ _ _ _ ūma[today]AV _ _ _ _ ša[that]REL miksu[tax-(on-produce)]N _ _ _ _ _ tadānu[give]V _ _ _ _ _ ša[of]DET abu[father]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ina[in]PRP muhhu[skull]N tamkāru[merchant]N ša[of]DET _ _ _ Ṭabi[1]PN _ _ _ _ _ ša[that]REL ana[to]PRP šarru[king]N bēlu[lord]N šapāru[send]V šarru[king]N bēlu[lord]N _ _ _ _ tadānu[give]V annûri[now]AV _ _ Ṭabi[1]PN _ _ _ _ ṣabātu[seize]V _ _ _ _ _ pēthallu[riding-horse]N _ _ _ _ Ṭabi[1]PN _,SAA 01 242,Taklak-ana-Bel,the king,099 - Miscellaneous,P313759,Naṣibina,SAA 1,721–705 BC,Sargon II,P313759,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313762,_ _ _ _ _ _ _ _ _ _ _ _ _ ana[to]PRP mīnu[what?]QP ana[to]PRP _ _ _ _ _ _ bēlu[lord]N piqittu[allocation]N _ _ _ _ išti[with]PRP Nabu-šumu-uṣur[1]PN _ _ _ ina[in]PRP Ninua[Nineveh]GN alāku[go]V _ _ _ pilku[demarcated-zone]N _ _ _ _ _ mannu[who?]QP ša[that]REL _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ūma[today]AV annûri[now]AV _ napištu[throat]N _ _ _ _ _ _ _ ištu[from]PRP libbu[interior]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 265,(unknown),the king,099 - Miscellaneous,P313762,Western Assyria,SAA 1,721–705 BC,Sargon II,P313762,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313807,_ alpu[ox]N _ _ bašû[exist]V _ _ Šadikannaya[from-Šadikanni]EN _ _ _ _ _ _ udīni[up-till-now]AV lā[not]MOD tebû[arise]V _ _ _ _ _ _ _ _ ṣabātu[seize]V _ našû[lift]V _ _ ša[of]DET Bit-Aššur[Temple-of-Aššur]TN _ _ _ Halzu[1]GN _ _ _ alpu[ox]N _ _ _ awīlu[man]N _ _ _ _ šâlu[ask]V _ _ _ ina[in]PRP libbu[interior]N _ _ _ mīnu[what?]QP ša[that]REL šarru[king]N bēlu[lord]N qabû[say]V,SAA 01 225,Samnuha-belu-uṣur,the king,099 - Miscellaneous,P313807,Shadikanni,SAA 1,721–705 BC,Sargon II,P313807,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313815,ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP _ _ _ mahāru[face]V _ _ _ _ _ šēpu[foot]N _ _ _ _ šaknu[placed]AJ _ _ _ _ šâlu[ask]V _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ūmu[day]N _ ṣabātu[seize]V _ _ _ _ ina[in]PRP kaspu[silver]N _ _ _ _ tadānu[give]V _ _ _ _ _ _ Ṭabi[1]PN _ _ _ qabû[say]V issurri[perhaps]AV šarru[king]N bēlu[lord]N qabû[say]V mā[saying]PRP _ _ _ _ _ _,SAA 01 243,Taklak-ana-Bel,the king,099 - Miscellaneous,P313815,Naṣibina,SAA 1,721–705 BC,Sargon II,P313815,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313832,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ina[in]PRP libbu[interior]N amāru[see]V _ _ _ _ _ ana[to]PRP Harranu[Harran]GN _ _ _ alāku[go]V hazannu[mayor]N _ _ _ _ _ _ arādu[go-down]V _ _ _ _ ana[to]PRP Halahhu[1]GN alāku[go]V mīnu[what?]QP ša[that]REL amāru[see]V mīnu[what?]QP ša[that]REL epēšu[do]V _ _ _ _ ina[in]PRP pānu[front]N šarru[king]N bēlu[lord]N qabû[say]V _ _ _ _ ūmu[day]N _ zunnu[rain]N zanānu[rain]V _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ammiu[that]DP _ _ _ _ râmu[love]V _ _ _ _ _ _ ana[to]PRP šarru[king]N bēlu[lord]N,SAA 01 263,(unknown),the king,099 - Miscellaneous,P313832,Western Assyria,SAA 1,721–705 BC,Sargon II,P313832,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313854,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Ilaʾi-Bel[1]PN šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N Išmanni-Aššur[1]PN _ _ _ _ _ _ _ _ _ damqu[good]AJ lā[not]MOD _ _ _ _ sisû[horse]N _ _ _,SAA 01 214,Ila’i-Bel,the king,099 - Miscellaneous,P313854,Middle Euphrates Region,SAA 1,721–705 BC,Sargon II,P313854,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313864,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N _ _ _ _ lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ina[in]PRP muhhu[skull]N _ _ _ _ ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP kīma[like]PRP aladlammû[human-headed-bull-colossus]N ša[of]DET _ _ gamāru[complete]V mā[saying]PRP dullu[trouble]N _ _ _ mā[saying]PRP _ _ _ _ _ _ _ _ _ _ _ matāhu[lift]V _ _ erēbu[enter]V _,SAA 01 166,(unknown),the king,099 - Miscellaneous,P313864,Assyria,SAA 1,721–705 BC,Sargon II,P313864,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313871,_ _ _ _ _ _ ša[that]REL ina[in]PRP _ _ _ _ _ _ _ _ bēlu[lord]N piqittu[allocation]N ina[in]PRP muhhu[skull]N zēru[seed(s)]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ištu[from]PRP šaplu[underside]N _ _ _ _ _ _ alāku[go]V tadānu[give]V _ _ _ _ _ šaʾʾurtu[dirt]N šurīnu[(divine)-emblem]N _ _ _ _ nāru[river]N ištu[from]PRP pānu[front]N Samerina[Samaria]GN _ _ abālu[dry-(up)]V ištēn[one]NU šī[she]IP būrtu[cistern]N ina[in]PRP libbu[interior]N gabbu[totality]N _ _ _ _ _ emēdu[lean-on]V šahālu[sieve]V _ _ _ _ _ udīni[up-till-now]AV lā[not]MOD gamāru[complete]V _ _ _ _ _ _ _ napištu[throat]N išti[with]PRP zakkû[(official)-freed]N _ _ _ _ _ _ _ _ _ ālu[city]N _ _ _ _ _ _ _,SAA 01 255,(unknown),the king,099 - Miscellaneous,P313871,Western Assyria,SAA 1,721–705 BC,Sargon II,P313871,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313874,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Tariba-Issar[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP awīlu[man]N ūma[today]AV mīnu[what?]QP ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V kurummatu[ration]N ša[that]REL pahāru[gather]V ina[in]PRP karāru[put-(down)]V alāku[go]V adi[until]PRP bītu[house]N awātu[word]N qerēbu[approach]V _ _ _ _,SAA 01 161,Tariba-Issar,the king,099 - Miscellaneous,P313874,Assyria,SAA 1,721–705 BC,Sargon II,P313874,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313876,_ _ _ _ mā[saying]PRP sinništu[woman]N ša[of]DET mašennu[(an-administrator)]N adi[until]PRP mārtu[daughter]N ina[in]PRP Mat-Aššur[Assyria]GN lū[may]MOD alāku[go]V atta[you]IP unqu[ring]N šarru[king]N šaṭāru[write]V ina[in]PRP muhhu[skull]N Bel-duri[1]PN wabālu[bring]V māru[son]N šipru[sending]N ina[in]PRP Dimašqa[Damascus]GN šapāru[send]V sinništu[woman]N udī-[alone]AV tadānu[give]V ina[in]PRP muhhu[skull]N mārtu[daughter]N ša[that]REL kalû[hold-(back)]V _ _ šapāru[send]V _ _ _ _,SAA 01 003,the king,(unknown),099 - Miscellaneous,P313876,Royal Court,SAA 1,721–705 BC,Sargon II,P313876,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313878,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N _ _ _ _ lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ina[in]PRP muhhu[skull]N itinnu[builder]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP alāku[go]V _ _ _ adi[until]PRP rabiu[big-one]N dullu[trouble]N epēšu[do]V mā[saying]PRP issurri[perhaps]AV _ _ _ _ aladlammû[human-headed-bull-colossus]N _ _ _ _ puhhu[exchange]V annûri[now]AV itinnu[builder]N ina[in]PRP muhhu[skull]N šarru[king]N bēlu[lord]N wabālu[bring]V issurri[perhaps]AV rabiu[big-one]N ina[in]PRP ēkallu[palace]N qabû[say]V mā[saying]PRP _ _ _ _ _ _ _,SAA 01 164,(unknown),the king,099 - Miscellaneous,P313878,Assyria,SAA 1,721–705 BC,Sargon II,P313878,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313879,_ ištu[from]PRP _ _ _ _ ūma[today]AV _ _ mā[saying]PRP Aššur-šumu-kaʾʾin[1]PN _ _ ištu[from]PRP libbu[interior]N Tastiati[1]GN matāhu[lift]V mīnu[what?]QP ša[that]REL šarru[king]N bēlu[lord]N qabû[say]V,SAA 01 120,Aššur-bani,the king,099 - Miscellaneous,P313879,Nimrud,SAA 1,721–705 BC,Sargon II,P313879,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313885,_ _ _ _ _ birti[between]PRP īnu[eye]N _ _ _ _ _ _ _ ina[in]PRP pānu[front]N šēpu[foot]N ayyekamēni[anywhere]AV lā[not]MOD šakānu[put]V šumma[if]MOD šapāru[send]V arhiš[quickly]AV alāku[go]V u[and]CNJ šumma[if]MOD _ _ _ _ _ šapāru[send]V _ _ _ _ _ _ _ mā[saying]PRP ana[to]PRP _ _ _ _ _ emūqu[strength]N amāru[see]V _ _ _ _ _ _ _ yamattu[each]XP _ _ _ _ _ _ _ _ _ _ u[and]CNJ _ _ _ _ _ _ _ alāku[go]V _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 040,Sennacherib,the king,099 - Miscellaneous,P313885,Royal Court,SAA 1,721–705 BC,Sargon II,P313885,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313897,_ _ _ _ ina[in]PRP muhhu[skull]N _ _ ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP dekû[raise]V alāku[go]V aladlammû[human-headed-bull-colossus]N šadādu[drag]V ina[in]PRP pānātu[front]N _ _ _ _ _ _ ša[of]DET ēkallu[palace]N _ _ dabābu[speak]V išti[with]PRP _ _ _ _ _ _ _ _ _ _,SAA 01 061,Ṭab-šar-Aššur,the king,099 - Miscellaneous,P313897,Royal Court,SAA 1,721–705 BC,Sargon II,P313897,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313904,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Inurta-ilaʾi[1]PN _ _ _ _ _ _ _ ina[in]PRP Nisannu[Nisan]MN ūmu[day]N _ nāru[river]N ebēru[cross-over]V ana[to]PRP šulmu[completeness]N ina[in]PRP ēkallu[palace]N alāku[go]V,SAA 01 186,Inurta-ila’i,the king,099 - Miscellaneous,P313904,Til-Barsip,SAA 1,721–705 BC,Sargon II,P313904,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313907,_ _ _ _ _ _ _ _ _ _ _ _ _ ina[in]PRP Hindanu[1]GN _ _ šemû[hear]V _ _ _ _ _ _ ištu[from]PRP libbu[interior]N _ _ _ _ _ _ Hindanu[1]GN _ _ _ _ _ _ _ _ _ _ _,SAA 01 211,(unknown),the king,099 - Miscellaneous,P313907,Middle Euphrates Region,SAA 1,721–705 BC,Sargon II,P313907,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313915,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ša[that]REL šapāru[send]V mā[saying]PRP rabû[big-one]N mūgu[contingent]N šapāru[send]V mā[saying]PRP išti[with]PRP Arpaddaya[from-Arpad]EN dibbu[words]N ṭābu[good]AJ dabābu[speak]V mā[saying]PRP tašlīšu[third-man-on-chariot]N _ _ _ ina[in]PRP libbu[interior]N Aššur[1]DN ilu[god]N tamû[swear]V šumma[if]MOD rabû[big-one]N mūgu[contingent]N šapāru[send]V _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 002,the king,(unknown),099 - Miscellaneous,P313915,Royal Court,SAA 1,721–705 BC,Sargon II,P313915,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313919,_ _ _ _ _ matāhu[lift]V ina[in]PRP pānu[front]N šarru[king]N bēlu[lord]N ana[to]PRP Dur-Šarruken[1]GN wabālu[bring]V,SAA 01 168,(unknown),the king,099 - Miscellaneous,P313919,Assyria,SAA 1,721–705 BC,Sargon II,P313919,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313923,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Aššur[1]DN _ _ _ _ _ _ _ ša[that]REL _ _ _ _ _ _ _ _ _ mugerru[chariot]N _ _ _ _ _ _ Urabu[1]EN _ _ _ _ _ _ meʾatu[(one)-hundred]NU Ituʾaya[Ituʾean]EN _ _ ina[in]PRP muhhu[skull]N nagāru[joiner]N ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP _ _ _ _ _ nagāru[joiner]N _ _ _ mišlu[half]NU lā[not]MOD alāku[go]V _ šeleppāyu[(a-type-of-craftsman)]N ša[of]DET pīhātu[responsibility]N ša[of]DET Kalhu[1]GN ina[in]PRP _ ūmu[day]N _ alāku[go]V memēni[somebody]XP ina[in]PRP libbu[interior]N dullu[trouble]N lā[not]MOD epēšu[do]V _ _ _ _ _ anāku[I]IP _ _ _ _ _ _ _ alāku[go]V _ _ _ _ _ _ _ _ ina[in]PRP _ _ _ _ _ _ _ _ ṣābu[people]N _ _ _ _ _ _ _,SAA 01 095,Ṭab-ṣill-Ešarra,the king,099 - Miscellaneous,P313923,Ashur,SAA 1,721–705 BC,Sargon II,P313923,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313938,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Pan-Aššur-lamur[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N,SAA 01 157,Pan-Aššur-lamur,the king,099 - Miscellaneous,P313938,Royal Court,SAA 1,721–705 BC,Sargon II,P313938,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313947,_ _ _ _ _ _ _ našû[lift]V _ _ _ _ annaka[here]AV _ _ _ _ ša[of]DET daltu[door]N _ _ _ _ dullu[trouble]N epēšu[do]V,SAA 01 068,Ṭab-šar-Aššur,the king,099 - Miscellaneous,P313947,Royal Court,SAA 1,721–705 BC,Sargon II,P313947,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313974,ina[in]PRP Hindanu[1]GN _ _ _ kī[like]PRP anāku[I]IP _ _ _ _ _ ina[in]PRP pānu[front]N šarru[king]N bēlu[lord]N _ _ _ kī[like]PRP annû[this]DP _ _ _ _ qabû[say]V _ _ _ _ _ _ ana[to]PRP _ _ _ _ _ _ lā[not]MOD _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 212,(unknown),the king,099 - Miscellaneous,P313974,Middle Euphrates Region,SAA 1,721–705 BC,Sargon II,P313974,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P313975,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Aššur-bani[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ūmu[day]N _ _ _ _ _ tebû[arise]V ina[in]PRP akītu[(a-cultic-festival)]N ašābu[sit-(down)]V adi[until]PRP mišlu[half]NU arhu[month]N _ _ _ _ šamnu[oil]N _ _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 113,Aššur-bani,the king,099 - Miscellaneous,P313975,Nimrud,SAA 1,721–705 BC,Sargon II,P313975,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P314001,_ Arpadda[Arpad]GN _ _ _ _ _ _ ūma[today]AV Ullusunu[1]PN _ _ _ _ _ ana[to]PRP maṣṣartu[observation]N ša[of]DET ramānu[self]N _ _ _ _ _ u[and]CNJ egertu[inscribed-tablet]N _ _ _ _ _ _ _ _ ša[that]REL šapāru[send]V _ _ _ _ _ _ _ ina[in]PRP libbu[interior]N _ _ _ _ _ _ _ _ _ _ _ _ _ _ muk[saying]PRP Ullusunu[1]PN _ _ _ _ _ _ _ _ _ _ _,SAA 01 009,the king,(unknown),099 - Miscellaneous,P314001,Royal Court,SAA 1,721–705 BC,Sargon II,P314001,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P314003,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Aššur-bani[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N šulmu[completeness]N ana[to]PRP ēkurru[temple]N šulmu[completeness]N ana[to]PRP Kalhu[1]GN šulmu[completeness]N ana[to]PRP sinništu[woman]N ēkallu[palace]N šulmu[completeness]N ana[to]PRP qallu[light]AJ ūmu[day]N _ _ _ _ _ aṣû[go-out]V _ _ _ _ _ ina[in]PRP šalimtu[well-being]N _ _ _ _ _,SAA 01 111,Aššur-bani,the king,099 - Miscellaneous,P314003,Nimrud,SAA 1,721–705 BC,Sargon II,P314003,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P314022,_ _ _ _ _ _ _ _ _ _ _ _ _ _ ina[in]PRP pānu[front]N _ _ _ _ _ paqādu[entrust]V _ _ _ _ _ šamnu[oil]N ša[that]REL Šep-Aššur[1]PN _ _ _ _ _ ardu[slave]N tadānu[give]V _ _ _ _ muhhu[skull]N _ _ _ ūmu[day]N _ ahu[arm]N _ _ _ _ _ emēdu[lean-on]V _ _ _ _ epēšu[do]V,SAA 01 126,Kiṣir-Aššur,the king,099 - Miscellaneous,P314022,Dur-Sharruken,SAA 1,721–705 BC,Sargon II,P314022,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P314026,awātu[word]N šarru[king]N ana[to]PRP _ meʾatu[(one)-hundred]NU urāsu[(a-foreman)]N annûri[now]AV dullu[trouble]N ina[in]PRP Dur-Šarruken[1]GN gamāru[complete]V _ _ _ aladlammû[human-headed-bull-colossus]N ina[in]PRP muhhu[skull]N _ _ kī[like]PRP ša[that]REL _ _ _ attunu[you-(pl.)]IP _ _ _ annû[this]DP _ _ _ _ _ _ _ _ _ _ zakkû[(official)-freed]N _ _ _ _ _ _ _ _ _ _ _ _ _ šarru[king]N _ _ _ alāku[go]V ana[to]PRP maṣṣartu[observation]N ša[of]DET _ Mat-Aššur[Assyria]GN izuzzu[stand]V u[and]CNJ rēhtu[remainder]N _ _ _ _ _ kallû[express-messenger]N _ _ ēpišu[doer]N dullu[trouble]N ina[in]PRP pānu[front]N alāku[go]V ina[in]PRP muhhu[skull]N _ _ _ _ _ _ _ mā[saying]PRP ana[to]PRP _ _ _ _ rēhtu[remainder]N _ _ _ _ _ epēšu[do]V _ _ _ _ namarkû[late]AJ _ _ _ _ zakkû[(official)-freed]N _ _ _ ṣabātu[seize]V _ _ _ _ šumma[if]MOD lā[not]MOD _ _,SAA 01 025,the king,several,099 - Miscellaneous,P314026,Royal Court,SAA 1,721–705 BC,Sargon II,P314026,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P314030,šarru[king]N _ _ _ _ _ _ _ ša[that]REL šarru[king]N _ _ _ _ _ _ mā[saying]PRP Išmanni-Aššur[1]PN _ _ _ _ mā[saying]PRP sisû[horse]N _ _ _ _ maṣṣartu[observation]N _ _ _ _ _ mā[saying]PRP _ _ _ _ _ _ _ _ _ _ _ _ _ Ruqahaya[Ruqahu]EN _ _ _ _ maṣṣartu[observation]N _ _ _ _ _ _ _ ina[in]PRP pānu[front]N _ _ _ _ _ _ _,SAA 01 262,(unknown),the king,099 - Miscellaneous,P314030,Western Assyria,SAA 1,721–705 BC,Sargon II,P314030,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
P314032,ana[to]PRP šarru[king]N bēlu[lord]N ardu[slave]N Ṭab-šar-Aššur[1]PN lū[may]MOD šulmu[completeness]N ana[to]PRP šarru[king]N bēlu[lord]N ina[in]PRP muhhu[skull]N awīlu[man]N annû[this]DP _ _ _ ša[that]REL šarru[king]N bēlu[lord]N šapāru[send]V mā[saying]PRP kī[like]PRP annû[this]DP _ _ _ _ _ _ _ _ _ _ _ _ _,SAA 01 074,Ṭab-šar-Aššur,the king,099 - Miscellaneous,P314032,Royal Court,SAA 1,721–705 BC,Sargon II,P314032,Administrative Letter,Kuyunjik (Nineveh),"[43.151937,36.358684]",874621
